datetime,actual_value,xgboost_forecast,lightgbm_forecast,gradient_boosting_forecast,catboost_forecast,adaboost_forecast,lstm_forecast
2025-11-01 00:00:00,11.33,11.589507,10.65003372884476,11.33549365564155,10.73696480667346,11.92740603463244,11.06
2025-11-01 00:30:00,10.99,11.334913,10.318220321892412,11.057014682656364,9.890094130288848,9.870817557511112,11.05
2025-11-01 01:00:00,10.84,11.334913,10.32617897297264,11.184364668452194,10.33597215102334,9.923783820866312,10.82
2025-11-01 01:30:00,10.81,11.334913,10.33089073190831,11.187682452683491,10.350832572350742,9.870817557511112,11.03
2025-11-01 02:00:00,10.79,11.421839,10.374137815849217,11.157035578639029,10.30120658681698,9.870817557511112,10.91
2025-11-01 02:30:00,10.81,11.478434,10.378849574784883,11.197110518700608,10.492488842036432,10.605377854444276,10.82
2025-11-01 03:00:00,10.81,11.421839,10.374137815849217,11.250250566140055,10.156941117703171,11.92740603463244,11.42
2025-11-01 03:30:00,10.84,11.707211,10.57259065188823,11.257303712299976,10.305694316773772,11.92740603463244,11.37
2025-11-01 04:00:00,11.05,11.814565,10.725851666318912,11.631398466516796,10.539421697673054,12.21807509398078,11.51
2025-11-01 04:30:00,10.84,11.94867,10.942684866389838,11.791479156185307,10.921401367377154,12.45750477789977,11.85
2025-11-01 05:00:00,10.84,11.907754,10.953294777838744,11.830689270921209,10.78024080746862,12.473685468065916,11.93
2025-11-01 05:30:00,11.26,12.563002,11.377327530859754,12.28338161131748,12.327789022684756,13.12382667810645,11.99
2025-11-01 06:00:00,11.18,14.123512,13.08697585869451,13.267964088939753,12.734392246858182,13.369164630232936,13.06
2025-11-01 06:30:00,10.84,12.781985,11.302651306468253,12.423093070441736,10.943532170235578,13.14773625598477,12.99
2025-11-01 07:00:00,11.0,11.764081,10.824825155144676,11.4746741477238,10.693454537314055,11.92740603463244,12.65
2025-11-01 07:30:00,9.92,11.155752,9.236397728535636,10.422758512955244,9.815928167688345,10.605377854444276,12.58
2025-11-01 08:00:00,9.16,10.596942,8.60144458825699,9.415759906374351,9.123171053980071,9.27528525438898,11.43
2025-11-01 08:30:00,9.44,9.814847,8.36504825365578,8.202964322547736,8.538693949066976,8.516659321826795,11.69
